id;searchQuery;text;socialMediaSense
1619677524967190528;repiulet;"un ruzi*, que he barrat tot d'una, vota pel meu repiulet. no saben ni llegir.
*aquest, nogensmenys, també era partidari de les dictadures nord-coreana, veneçolana... i ja no he hi volgut veure pas més.";1
1620168513376894976;retuitar;podeu demanar la dimissió de sigfrid gras sense retuitar feixistes catalans és totalment compatible;1
1619742793383170048;retuitar;perquè, retuitar? perque fa falta;1
1619666435776864256;retuitar;en contra de retuitar genocides, per molt sucós que sigui atacar una desinhibida apologia de la indigència intelectual.;1
1619642801406509056;retuitar;retuit si tu també creus que tampoc s'ha de retuitar tot;1
1619493816993718272;retuitar;@kanen49 si us plau, deixa de retuitar aquests reptes per nens de 6 anys...;1
1620132857305001984;share;"aneu perdent llençols. al final tindreu contenta la base ampla i no marcar perfil propi podeu passar a ser tve3... comenceu a no tenir share en molts espais x part meua. no sé si calculeu les coses amb els nínxols d'edat i espectres polítics.
seguireu sent líders fent coses així?";0
1620206220014665728;post;volví a borrar mis post en ig;1
1620200624045584384;post;el ambo post guardia de un obstetra;0
1620194480199442432;post;*qualquer* post da tracklist;0
1620193063523033088;post;en instagram, en el post de la triple;1
1620204633921818624;comentari;"un comentari absolutament fastigós, únicament entendible des de l'espanyolisme més rabiós i irracional.

gairebé una desena de dones han estat bàsicament abusades sexualment com perque vinguis a posar-te de perfil d'aquesta manera";0
1620201585845637120;comentari;"avui, al #plevendrell he escoltat un comentari de la ciutadana vendrellenca @marmarvazquez on recomanava al #psc que en comptes d'1 moció per urgència han tingut 4 anys per negociar amb la generalitat inversions. que la protesta va bé, però millor les reunions.
👇🏻";0
1620190042084999168;comentari;que hi ha molt tabú amb la homoxesualitat? ho dic pel comentari que has fet.,declarat obertament ..;0
1620177308425535488;comentari;"no totes les ""catalanas"" som de la cup, això primer, i segon, espero q no tinguis ni mare, ni germana, ni neboda, perquè les deixes en molt mal lloc ( si es que són catalanas es clar ). comentari desafortunat.";0
1620170769593663488;comentari;la senyora aquesta (no sé qui és) on ha viscut tots aquests anys, per dir que passaria si a telecinco o antena 3 es fés un comentari sobre nazisme i independentisme? #elcirc;0
1620169049618649088;comentari;el meu comentari l'he fet sense haver-la sentit... però no em sorprèn...;0
1620166015584993280;comentari;"que poc aporta el teu comentari en un moment així. 
ànims marc i que aparegui!!";1
1620164709315121152;comentari;heu vist el comentari del maragall acomiadant-se del parlament català? diu que s'ha de ser més parlamentari que partidista, i més ciutadà que polític. això no lliga amb  el comentari que fas oi? quina barra que tenen!!!! aquests d'er son uns falsos tots plegats.;0
1620164159718703104;comentari;just avui he tingut una discussió amb un company que em feia exactament el mateix comentari. dient que no eximia la culpa de l'agressor, però que vaja, que la víctima ja s'ho podia esperar....no me n'he sortit de fer-li entendre.;0
1620160694837731328;comentari;"primer de tot gràcies pel teu comentari... val a dir que sóc la primera a pregar que tots els impostos que van a l'exèrcit poguessin anar a sanitat i educació. 
també cal recordar que quan es va deixar gaza estava tot sembrat i actiu...";0
1620158192423665664;comentari;aquest comentari ha fet molt de mal al barri marítim però molta gràcia i orgull a la vilafranca metropolitana;0
1620152385334284288;comentari;soc un mindundi i no és representatiu de res però només cal fer una simple divisió per veure que el meu comentari té un like cada 56 impressions i el de l’elisenda un cada 344 visulaitzacions.;1
1620182210975502336;pin;"niotoris odotnaroborolse#. npm  .nueqeun d   nador.bergo  es   qcerepael q   zreertiug arom a   tonju alrur la en anmopkoos arcm  .añehuep lalvi  en o pin ld staief  laen   .toibhic. ..d atesfi la ennamopko socrma.aertmu cava d siagalre .traesnualnco#!.""osicaty  vi osicat  vi";0
1620122903433068544;pin;"la meva resposta-pista #visualthinking al 1r #criptomàrius #filosofàrius del @mariusserra: ""el filòsof empíric dels esmorzars britànics"" (pin 3622)

(doncs trobo que tenia molta retirada a l'escurçó negre!😅)";1
1620072624985620480;friend;perdó, una pala, m'ha fet un false friend el cervell;0
1620174594098462720;bloquejar;ei @mespermallorca i @mesesqmanacor bloquejar i perseguir a qui diu la veritat són formes de democràcia? sí en democràcia ens hem d'amagar perquè mos atacau;1
1620156237081108480;bloquejar;"en faré més d'aquests! m'ha servit per bloquejar defensor de l'explotació animal! 💪🏼 i dels de: ""les proteïnes, blablabla, visca l'explotació animal, produïr aliments (són animals, no aliments, però ok), t'alimentes d'@heurafoods (que sí, gràcies, però essencialment de llegums,";1
1620147980685967360;bloquejar;@junqueras @gabrielrufian  @joantarda  @ercbcn @martarovira espanya amb er que ha aconseguit, seccionar per la meitat l'independentisme, bloquejar o perdre totes les competències a un nivell brutal, robar-nos a la cara els 20.000.000.000€.;0
1620101740719906816;bloquejar;ahir vaig bloquejar a la lluna catalana, sense cap motiu, mai m'ha agradat, i no vull veure-la per les xarxes.;1
1620073446100340736;bloquejar;es que ell en si es vomitiu. clàssic perfil a bloquejar des del minut 0.;1
1620050560920743936;bloquejar;"estan ofegant catalunya per manca de llibertat
podem no pot, només fa nosa
psc farà per bloquejar tot
pp, vox i c's ni cas
erc està sol per voler fer la seva
a jxc no el fan costat
i cup és no a tot
es farà una alternativa per canviar-ho tot?";0
