id;searchQuery;text;timestamp;cleanText;foundWord
1619677524967190528;repiulet;"un ruzi*, que he barrat tot d'una, vota pel meu repiulet. no saben ni llegir.
*aquest, nogensmenys, també era partidari de les dictadures nord-coreana, veneçolana... i ja no he hi volgut veure pas més.";2023-01-29 12:43:00+00:00;un ruzi*, que he barrat tot d'una, vota pel meu repiulet. no saben ni llegir. *aquest, nogensmenys, també era partidari de les dictadures nord-coreana, veneçolana... i ja no he hi volgut veure pas més.;repiulet
1620168513376894976;retuitar;podeu demanar la dimissió de sigfrid gras sense retuitar feixistes catalans és totalment compatible;2023-01-30 21:14:00+00:00;podeu demanar la dimissió de sigfrid gras sense retuitar feixistes catalans és totalment compatible;retuitar
1619742793383170048;retuitar;perquè, retuitar? perque fa falta;2023-01-29 17:02:00+00:00;perquè, retuitar? perque fa falta;retuitar
1619666435776864256;retuitar;en contra de retuitar genocides, per molt sucós que sigui atacar una desinhibida apologia de la indigència intelectual.;2023-01-29 11:59:00+00:00;en contra de retuitar genocides, per molt sucós que sigui atacar una desinhibida apologia de la indigència intelectual.;retuitar
1619642801406509056;retuitar;retuit si tu també creus que tampoc s'ha de retuitar tot;2023-01-29 10:25:00+00:00;retuit si tu també creus que tampoc s'ha de retuitar tot;retuit
1619642801406509056;retuitar;retuit si tu també creus que tampoc s'ha de retuitar tot;2023-01-29 10:25:00+00:00;retuit si tu també creus que tampoc s'ha de retuitar tot;retuitar
1619493816993718272;retuitar;@kanen49 si us plau, deixa de retuitar aquests reptes per nens de 6 anys...;2023-01-29 00:33:00+00:00;@kanen49 si us plau, deixa de retuitar aquests reptes per nens de 6 anys...;retuitar
1620132857305001984;share;"aneu perdent llençols. al final tindreu contenta la base ampla i no marcar perfil propi podeu passar a ser tve3... comenceu a no tenir share en molts espais x part meua. no sé si calculeu les coses amb els nínxols d'edat i espectres polítics.
seguireu sent líders fent coses així?";2023-01-30 18:52:00+00:00;aneu perdent llençols. al final tindreu contenta la base ampla i no marcar perfil propi podeu passar a ser tve3... comenceu a no tenir share en molts espais x part meua. no sé si calculeu les coses amb els nínxols d'edat i espectres polítics. seguireu sent líders fent coses així?;perfil
1620132857305001984;share;"aneu perdent llençols. al final tindreu contenta la base ampla i no marcar perfil propi podeu passar a ser tve3... comenceu a no tenir share en molts espais x part meua. no sé si calculeu les coses amb els nínxols d'edat i espectres polítics.
seguireu sent líders fent coses així?";2023-01-30 18:52:00+00:00;aneu perdent llençols. al final tindreu contenta la base ampla i no marcar perfil propi podeu passar a ser tve3... comenceu a no tenir share en molts espais x part meua. no sé si calculeu les coses amb els nínxols d'edat i espectres polítics. seguireu sent líders fent coses així?;share
1620206220014665728;post;volví a borrar mis post en ig;2023-01-30 23:43:00+00:00;volví a borrar mis post en ig;post
1620200624045584384;post;el ambo post guardia de un obstetra;2023-01-30 23:21:00+00:00;el ambo post guardia de un obstetra;post
1620194480199442432;post;*qualquer* post da tracklist;2023-01-30 22:57:00+00:00;*qualquer* post da tracklist;post
1620186412799893504;post;ella’s post (?!!!;2023-01-30 22:25:00+00:00;ella’s post (?!!!;post
1620204633921818624;comentari;"un comentari absolutament fastigós, únicament entendible des de l'espanyolisme més rabiós i irracional.

gairebé una desena de dones han estat bàsicament abusades sexualment com perque vinguis a posar-te de perfil d'aquesta manera";2023-01-30 23:37:00+00:00;un comentari absolutament fastigós, únicament entendible des de l'espanyolisme més rabiós i irracional. gairebé una desena de dones han estat bàsicament abusades sexualment com perque vinguis a posar-te de perfil d'aquesta manera;perfil
1620204633921818624;comentari;"un comentari absolutament fastigós, únicament entendible des de l'espanyolisme més rabiós i irracional.

gairebé una desena de dones han estat bàsicament abusades sexualment com perque vinguis a posar-te de perfil d'aquesta manera";2023-01-30 23:37:00+00:00;un comentari absolutament fastigós, únicament entendible des de l'espanyolisme més rabiós i irracional. gairebé una desena de dones han estat bàsicament abusades sexualment com perque vinguis a posar-te de perfil d'aquesta manera;comentari
1620201585845637120;comentari;"avui, al #plevendrell he escoltat un comentari de la ciutadana vendrellenca @marmarvazquez on recomanava al #psc que en comptes d'1 moció per urgència han tingut 4 anys per negociar amb la generalitat inversions. que la protesta va bé, però millor les reunions.
👇🏻";2023-01-30 23:25:00+00:00;avui, al he escoltat un comentari de la ciutadana vendrellenca @marmarvazquez on recomanava al que en comptes d'1 moció per urgència han tingut 4 anys per negociar amb la generalitat inversions. que la protesta va bé, però millor les reunions. 👇🏻;comentari
1620190042084999168;comentari;que hi ha molt tabú amb la homoxesualitat? ho dic pel comentari que has fet.,declarat obertament ..;2023-01-30 22:39:00+00:00;que hi ha molt tabú amb la homoxesualitat? ho dic pel comentari que has fet.,declarat obertament ..;comentari
