Lemma_Catalan;Stem_Catalan;POS_Catalan
amagar;amag;VERB
amic;amic;NOUN
amic;amig;NOUN
arxivar;arxiv;VERB
blocar;bloc;VERB
blocar;bloq;VERB
bloquejar;bloque;VERB
canal;canal;NOUN
clavar;clav;VERB
comentar;coment;VERB
comentari;comentari;NOUN
compartir;compart;VERB
compartir;compart;VERB
compte;compte;NOUN
cronologia;cronologi;NOUN
denunciar;denunci;VERB
directe;directe;NOUN
enviar;envi;VERB
esborrar;esborr;VERB
etiqueta;etiquet;NOUN
etiquetar;etiquet;VERB
favorit;favorit;NOUN
fil;fil;NOUN
guardar;guard;VERB
història;històri;NOUN
likejar;likej;VERB
llegit;llegit;VERB
m'agrada;m'agrad;NOUN
menció;menci;NOUN
missatge;missatge;NOUN
notificació;notificaci;NOUN
ocultar;ocult;VERB
perfil;perfil;NOUN
piulada;piulad;NOUN
piular;piul;VERB
piulet;piulet;NOUN
preferit;preferi;NOUN
prohibir;prohib;VERB
publicació;publicaci;NOUN
publicar;publi;VERB
reenviar;reenvi;VERB
repiulada;repiulad;NOUN
repiular;repiul;VERB
repiulet;repiulet;NOUN
respondre;respon;VERB
resposta;respost;NOUN
restringir;restring;VERB
retuit;retuit;NOUN
retuitar;retuit;VERB
retuitejar;retuiteg;VERB
retuitejar;retuitej;VERB
seguidor;seguidor;NOUN
seguir;segu;VERB
silenciar;silenci;VERB
subscriure;subscri;VERB
tuit;tuit;NOUN
tuitar;tuit;VERB
tuitejar;tuiteg;VERB
tuitejar;tuitej;VERB
vist;vist;VERB
visualitzacions;visualitzaci;NOUN
